,Date/Time,MULTIPOINT
0,2022-06-01 00:00:00,
1,2022-06-01 01:00:00,"MULTIPOINT ((-0.4045450401 -0.8040536104), (-0.4016658945 -0.8215471517), (-0.3593313457 -0.7827823568), (-0.402309721 -0.7547746659), (-0.3321493224 -0.7523014321), (-0.4060220713 -0.7974844276), (-0.3997147769 -0.815856562), (-0.4160263988 -0.7958373932), (-0.409017794 -0.8071260638), (-0.351926909 -0.7792686398), (-0.3863302487 -0.8104390277), (-0.4111111166 -0.7959825339), (-0.4222067754 -0.8216159966), (-0.4212614933 -0.7712289161), (-0.4185604915 -0.8346994055), (-0.3576225905 -0.7875927439), (-0.3528165845 -0.7756650368), (-0.4028785412 -0.7738610001), (-0.4735629112 -0.8658244928), (-0.3941694358 -0.7971427657), (-0.4367641675 -0.8256653337), (-0.3234695997 -0.8479327235), (-0.327391771 -0.7892930065), (-0.2354149521 -0.7643808962), (-0.4084675093 -0.8095332542), (-0.3973777509 -0.8131717863), (-0.377822978 -0.8094880132), (-0.3350654496 -0.8379150923), (-0.3683273941 -0.7745243558), (-0.4106009128 -0.7601297331), (-0.3179468171 -0.8462985641), (-0.4426905299 -0.8462192284), (-0.3885805571 -0.7963658604), (-0.4400609584 -0.7921907546), (-0.3359118556 -0.8016117889), (-0.4007502931 -0.7599999111), (-0.3331303345 -0.8387417686), (-0.3477172285 -0.7735166559), (-0.4668804065 -0.8642960149))"
2,2022-06-01 02:00:00,"MULTIPOINT ((-0.4542044599 -0.8557811118), (-0.4268273367 -0.8289320433), (-0.2340500728 -0.6779026502), (-0.4073733768 -0.8246561436), (-0.4933828435 -0.8545162714), (-0.3213175713 -0.7873741089), (-0.4524138147 -0.8387778899), (-0.3659943016 -0.776811738), (-0.4375825915 -0.8271143568), (-0.5130241255 -0.8893412851), (-0.2035668631 -0.6558988979), (-0.1475172903 -0.611766161), (-0.3551690469 -0.7742077881), (-0.2828293828 -0.8396939753), (-0.3926028262 -0.7466966155), (-0.4580800241 -0.847646078), (-0.2760004117 -0.7059928955), (-0.487471828 -0.8821653723), (-0.367366467 -0.777854367), (-0.3173821987 -0.833735218), (-0.4731000594 -0.8584077716), (-0.3237724559 -0.7398958632), (-0.3435549298 -0.7257230942), (-0.26549935 -0.7848421631), (-0.1676396915 -0.6469240745), (-0.4340873929 -0.8444382592), (-0.4300797556 -0.8670768756), (-0.3510372335 -0.8253563955), (-0.4841775403 -0.8398429904), (-0.5016948058 -0.8798891365), (-0.3913818355 -0.7962191103), (-0.4426999765 -0.8600022931), (-0.4668450042 -0.847785735), (-0.3438162151 -0.7664994144), (-0.39442792 -0.7985949479), (-0.4138981507 -0.8095850518))"
3,2022-06-01 03:00:00,"MULTIPOINT ((-0.4044566834 -0.7817160046), (-0.3436242145 -0.7713313193), (-0.5003218655 -0.8784641346), (-0.2490487862 -0.6882681424), (-0.292051225 -0.7311522517), (-0.3861821433 -0.7922053581), (-0.2943813076 -0.7218813651), (-0.268421765 -0.6800894174), (-0.3359562277 -0.7596115181), (-0.2347192738 -0.6774737251), (-0.2464133292 -0.6906730677), (-0.5234484227 -0.8938373695), (-0.3087016714 -0.727084258), (-0.1671067205 -0.625276528), (-0.2746431164 -0.7051337935), (-0.2850015261 -0.7117418395))"
4,2022-06-01 04:00:00,"MULTIPOINT ((-0.2658154075 -0.7027435313), (-0.1425113867 -0.6151090471), (-0.2696871276 -0.701964063), (-0.1391880888 -0.6117939374), (-0.1779923647 -0.6399041508), (-0.2273582854 -0.6815944105), (-0.4762717802 -0.847949592), (-0.3902397848 -0.807334387), (-0.4300206028 -0.8421295381), (-0.3824737862 -0.8010432664), (-0.1474534441 -0.6183404103), (-0.1734111243 -0.6359999545))"
5,2022-06-01 05:00:00,
6,2022-06-01 06:00:00,"MULTIPOINT ((-0.163270209 -0.6262136543), (-0.1467558884 -0.6131627904))"
7,2022-06-01 07:00:00,"MULTIPOINT ((-0.2299917905 -0.6777063675), (-0.2391092586 -0.6931588188), (-0.2354493114 -0.6835811398), (-0.196525389 -0.6332934225), (-0.2576222574 -0.7022699612))"
8,2022-06-01 08:00:00,"MULTIPOINT ((-0.4017854516 -0.7990327543), (-0.2708276883 -0.6955161189), (-0.2726915519 -0.682247216), (-0.3420728325 -0.7679425961), (-0.3286522762 -0.7662353), (-0.274486518 -0.7223957057), (-0.3270932357 -0.7564113884), (-0.2271168319 -0.649820869), (-0.32779696 -0.7569522537), (-0.2068083305 -0.6616093363), (-0.2998151376 -0.6894810659), (-0.2723024548 -0.7041961903), (-0.277322126 -0.8357483528), (-0.2007296311 -0.7040394264))"
9,2022-06-01 09:00:00,"MULTIPOINT ((-0.4496633748 -0.8297270688), (-0.5147978145 -0.8899260801), (-0.4817322214 -0.8583092428), (-0.3298122069 -0.7432674795), (-0.295366462 -0.7432650952), (-0.4854765172 -0.8846378313), (-0.4499827104 -0.8432031623), (-0.3982544933 -0.7548980504), (-0.4371639925 -0.8481865857), (-0.4119029591 -0.814625101), (-0.215824315 -0.6547625086), (-0.4835972173 -0.8459134494), (-0.2789230353 -0.8351521134), (-0.2789230353 -0.8351521134), (-0.3322644691 -0.7004638383), (-0.2789230353 -0.8351521134), (-0.3640120134 -0.7930732222), (-0.5234702362 -0.8927777527), (-0.4625096874 -0.8495223573), (-0.1989891689 -0.7040469368), (-0.4602921291 -0.8751468195), (-0.3448376955 -0.7774380784), (-0.3438348401 -0.7664803405), (-0.5106995557 -0.8893058195), (-0.4110370639 -0.8113933206), (-0.3640317707 -0.7868200111), (-0.3916632656 -0.7581239299), (-0.4546884696 -0.8335216495), (-0.3581215896 -0.7818346206), (-0.3769272233 -0.7215473924), (-0.4323237166 -0.8194968823), (-0.2037236701 -0.6587781682), (-0.3812167675 -0.7722695185), (-0.2955321791 -0.7205767674), (-0.4245314345 -0.8327643547), (-0.2601470525 -0.8143763054))"
